"Policy Effective Date","Submission Name","Submission Type","Production Office","Placing Broker","Line of Business","Client Name","Industry","Employees","Annual Revenue Currency","Annual Revenue","Stage","Lost/NTU Reason","Declined Reason","Production Region","Profit Center","100 Percent Policy Booked Premium Currency","100 Percent Policy Booked Premium","Assigned Underwriter","Effective Month","Last Modified Alias"
"5/12/2018","SD-FNL-CHG-18-1483893","New","Nashville","Worldwide Facilities, LLC","Commercial","Innovate Biopharmaceuticals, Inc.","Biotechnology","4","USD","691057.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Adam Gruen","May","sbatc"
"7/24/2017","SD-XFL-ATL-17-1141262","Renewal","New York","ARC South, LLC","Financial Institutions","State Bank Financial Corporation","Banking","355","USD","252015000.00","Bound","","","North America","Financial Lines - 20150","USD","43303.00","Alana Berger","Jul","asale"
"7/24/2017","SD-XFL-NYC-17-1234589","New","New York","ARC South, LLC","Financial Institutions","State Bank Financial Corporation","Banking","355","USD","252015000.00","Bound","","","North America","Financial Lines - 20150","USD","28869.00","Alana Berger","Jul","asale"
"7/13/2017","SD-FNL-ATL-17-1189745","Renewal","Atlanta","CRC Insurance Services, Inc.","Private/NFP","Beachside Ski Lodge","Retail","10","USD","260906.00","Cancelled","","","North America","Financial Lines - 20150","USD","6730.00","Alex Levi","Jul","asale"
"10/27/2017","SD-FNL-ATL-17-1182635","Renewal","Atlanta","Integro Insurance Brokers","Private/NFP","US Polo Association","Not For Profit","0","USD","0.00","Bound","","","North America","Financial Lines - 20150","USD","75993.00","Alex Levi","Oct","wbroc"
"9/15/2017","SD-FNL-ATL-17-1144607","Renewal","Atlanta","USI Insurance Services LLC","Private/NFP","EOI US Property Inc.","Other","3","USD","210000.00","Bound","","","North America","Financial Lines - 20150","USD","26370.00","Alex Levi","Sep","asale"
"4/18/2017","SD-PRO-ATL-17-1050723","New","Atlanta","AmWINS Brokerage of Florida - Jacksonville","Deductible","Rebol-Battle & Associates, LLC","Engineering","5","USD","1000000.00","Declined","","Deductible Level","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Apr","aaman"
"4/8/2017","SD-PRO-ATL-17-1062344","New","Miami","Peachtree Special Risk","Deductible","Poulos & Bennett, LLC","Engineering","5","USD","775605.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Apr","aaman"
"4/1/2017","SD-PRO-ATL-16-1024801","New","Miami","Socius Insurance Services, Inc.","Miscellaneous","Mortgage Contracting Services LLC","Transportation","0","USD","0.00","Lost/NTU","Coverage","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Apr","aaman"
"4/1/2017","SD-PRO-ATL-17-1053475","New","Miami","AmWINS Brokerage of Florida - West Palm Beach","Deductible","FDS Engineering Associates","Engineering","12","USD","1213774.00","Lost/NTU","Price","","North America","Professional Liability - 20260","USD","0.00","Amber Amann","Apr","apadi"
